alpha,Teq,S0,rho,sigma,GMSL_RCP26,GMSL_RCP45,GMSL_RCP60,GMSL_RCP85
3.234466130788424,-0.34014078504374556,-114.245170063477,-0.6033086228778408,0.6726242673325623,375.7365563395903,518.9679159603946,519.7826087007514,699.832482136511
3.2308880968939544,0.1511421997633079,-103.03201273802223,-0.15815466075110401,0.784486191840062,148.61845821080263,285.0395721219857,294.00225444085527,482.3263559646431
3.908395696366763,-1.5808166641558072,-97.5800411625307,0.5775612763143076,0.3851295098636076,1242.5591405169257,1381.496524030225,1359.6633845642523,1630.6079962404544
2.7922516250328377,-1.2995667479297106,-144.68119710308343,0.531401549162916,0.23899732266744456,693.6718108602774,802.1337683385075,783.6479670379753,960.9351099377225
4.536339483168593,-0.5916351517966207,-101.04135155316256,0.5742550686461251,2.3846072807894627,782.6724861356741,955.3701329999317,939.219995213888,1200.5754465435207
4.524227755156333,0.27520256096127754,-96.17299313150392,0.5822007049000445,0.5227851897327114,184.10629201134174,388.58784522100234,351.3780055107575,625.7720285634832
4.3755125813008595,-0.8937939438831641,-121.89314612621042,-0.4739270373872587,1.037837202490451,908.2086444503751,1102.3448977312073,1062.0325777243622,1347.2027748337696
2.554351062952585,-1.401359458011562,-118.32776440628842,0.049827320991882584,1.7115732990581405,680.000414560156,782.5839796876763,781.6951038498963,959.6614820151273
3.190679237293077,0.1513882237152288,-156.95291862878818,0.719839652847146,1.0893883003902585,96.76548984847955,244.9989946404972,237.4593239323018,412.98178618996985
4.639733679049282,-0.14367578488576982,-126.63359666586126,-0.23792635159200984,1.4960824325310413,466.94861843793024,651.47275477996,624.3288431300545,923.7690148351869
4.235402494839233,-0.22890850216875286,-103.88153434564093,0.04665651171806995,0.9639895024644958,491.9130968325125,663.8910177689377,639.3374052950584,893.5191692190255
4.760956283862582,-0.00732589875374029,-88.95695443231166,0.602940498050007,2.2020290311404684,426.4765084286107,622.137986536744,600.2673029620637,869.2846380189706
3.533303028583855,-0.08784403780995365,-141.91551686694584,-0.5073492872569356,2.1409391173383217,277.39127283985687,419.9402442832192,411.14139991369655,616.7914310942648
3.1143389790868956,-0.3830213454094301,-156.6346735252576,0.1775697389456291,1.767115995661213,355.9134921200548,484.34125822272574,460.2225724023535,654.4290865808892
3.7182694655496022,-0.5211733661035126,-109.17614742154994,0.05725171493368353,0.779075525159462,559.3195588959918,737.3774190443535,712.9539235690695,928.2293820360683
2.8316873850710467,-1.1665553919511085,-147.426786352882,0.2274182756502362,1.641167217363276,630.0305173460387,769.9107225087893,754.3520888331354,921.6906415170292
2.7455948875318157,-1.2293280059167344,-113.79512714915688,-0.011417526554797885,0.1861136543456888,686.0800377222031,794.4079143972365,784.2370996112841,944.7381037772238
1.9555767719014894,-0.45146489619090086,-119.55646829625996,0.5530680968396373,2.3114988344009713,224.40263147386025,295.5192842160934,286.1316026797469,415.5171426299999
4.181085738660304,-0.6259693630252327,-133.84327855868648,-0.8777826799018401,0.047660117610381636,688.3702434709935,845.4432346673533,890.2167603970279,1090.0153261809526
2.728897126774416,0.025526874574325842,-104.79224972678169,0.23382964320976157,0.40289365136254746,166.46356585657503,283.6418958349675,255.60669748842594,435.3498662954679
1.8705229473999507,0.5686073469882986,-106.7333196198767,-0.20521821775317417,0.32195229774921014,-50.0726602156727,-12.997664052715004,3.549061228355149,105.2293202733533
2.0662621161728354,-0.336616706417602,-78.48015497976925,-0.2057039963536842,0.9289567777438861,246.8293038359036,324.3846552426892,307.52549508905497,444.4954756174207
2.1976031857412326,-0.6696341783149307,-121.8374653909684,0.5616072620020739,1.396754508730433,346.6345178275728,429.81965173366183,431.90187142903653,533.6797556476914
